tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,title,region,language,isOriginalTitle,english_grammar_signal,era,log_numVotes
tt0069204,movie,Sabse Bada Sukh,1972,114,"Comedy,Drama",6.0,21,Subse Bada Sukh,IN,bn,0,False,Classics,1.3424226808222062
tt0070047,movie,The Exorcist,1973,122,Horror,8.1,493902,The Exorcist,IN,bn,0,True,Classics,5.693641664103416
tt0070047,movie,The Exorcist,1973,122,Horror,8.1,493902,Shoitan Raat,IN,bn,0,True,Classics,5.693641664103416
tt0073191,movie,Jai Santoshi Maa,1975,145,"Drama,Fantasy",6.6,242,Joy Sontoshi Maa,IN,bn,0,False,Classics,2.385606273598312
tt0078170,movie,Roads to the South,1978,100,Drama,5.5,291,Putevi na Jug,BD,bn,0,True,Classics,2.4653828514484184
tt0080376,movie,Barsaat Ki Ek Raat,1981,142,"Romance,Thriller",6.1,416,Anusandhan,IN,bn,0,False,Classics,2.6201360549737576
tt0080856,movie,The Kingdom of Diamonds,1980,118,"Comedy,Drama,Family",8.8,3389,Heerak Rajar Deshe,IN,bn,0,True,Classics,3.530199698203082
tt0083987,movie,Gandhi,1982,191,"Biography,Drama,History",8.0,246436,Gandhi,IN,bn,0,False,Classics,5.39170591327112
tt0086154,movie,Psycho II,1983,113,"Crime,Horror,Mystery",6.6,34574,Psycho II,IN,bn,0,False,Classics,4.538762188781348
tt0086250,movie,Scarface,1983,170,"Crime,Drama",8.3,1002669,Scarface,IN,bn,0,False,Classics,6.001158020995687
tt0087277,movie,Footloose,1984,107,"Drama,Music,Romance",6.6,100915,Footloose,IN,bn,0,False,Classics,5.003960028088548
tt0087332,movie,Ghostbusters,1984,105,"Action,Comedy,Fantasy",7.8,483028,Ghostbusters,IN,bn,0,False,Classics,5.683973205620856
tt0088847,movie,The Breakfast Club,1985,97,"Comedy,Drama",7.8,468744,The Breakfast Club,IN,bn,0,True,Classics,5.670936648236595
tt0088939,movie,The Color Purple,1985,154,Drama,7.7,103232,The Color Purple,IN,bn,0,True,Classics,5.013818548327848
tt0090329,movie,Witness,1985,112,"Crime,Drama,Romance",7.3,112707,Witness,IN,bn,0,False,Classics,5.051954743309174
tt0091445,movie,Lucas,1986,100,"Comedy,Drama,Romance",6.9,18710,Lucas,IN,bn,0,False,Classics,4.272096998770794
tt0092099,movie,Top Gun,1986,110,"Action,Drama",7.0,544991,Top Gun,IN,bn,0,False,Classics,5.736390127264981
tt0092263,movie,A Better Tomorrow,1986,95,"Action,Crime,Drama",7.4,28118,Ēkaṭi sundara āgāmī,BD,bn,0,False,Classics,4.4489998717459285
tt0093748,movie,"Planes, Trains & Automobiles",1987,93,"Comedy,Drama",7.6,179167,"Bimana, Trena Ebam Atomobaila",IN,bn,0,False,Classics,5.25326044581489
tt0094721,movie,Beetlejuice,1988,92,"Comedy,Fantasy",7.4,414629,Bitera Rasa,IN,bn,0,False,Classics,5.617660721692005
tt0095765,movie,Cinema Paradiso,1988,174,"Drama,Romance",8.5,314377,Cinema Paradiso,IN,bn,0,False,Classics,5.4974521467410895
tt0095953,movie,Rain Man,1988,133,Drama,8.0,579381,Rain Man,IN,bn,0,False,Classics,5.762964998596246
tt0096028,movie,Salaam Bombay!,1988,113,"Crime,Drama",7.9,10995,Sâlâma Bombê,IN,bn,0,False,Classics,4.041234731171431
tt0099429,movie,Dil,1990,172,"Comedy,Drama,Romance",6.6,6111,Dil,IN,bn,0,False,Classics,3.7861833455676335
tt0099487,movie,Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.8,560812,Edward Scissorhands,IN,bn,0,False,Classics,5.748818072296026
tt0099785,movie,Home Alone,1990,103,"Comedy,Family",7.8,734879,Home Alone,IN,bn,0,False,Classics,5.866216428073848
tt0099785,movie,Home Alone,1990,103,"Comedy,Family",7.8,734879,My Poor Little Angel,BD,bn,0,False,Classics,5.866216428073848
tt0101279,movie,The Stranger,1991,97,Drama,8.0,4690,Agantuk,IN,bn,0,True,Classics,3.6712654329471586
tt0103772,movie,Basic Instinct,1992,127,"Drama,Mystery,Romance",7.1,240475,Basic Instinct,IN,bn,0,False,Classics,5.381071739388976
tt0103776,movie,Batman Returns,1992,126,"Action,Crime,Fantasy",7.1,347919,Batman Returns,IN,bn,0,False,Classics,5.541479394657279
tt0103874,movie,Dracula,1992,128,"Fantasy,Horror,Romance",7.4,266053,Dracula,IN,bn,0,False,Classics,5.424969792728393
tt0104257,movie,A Few Good Men,1992,138,"Drama,Thriller",7.7,313398,A Few Good Men,IN,bn,0,False,Classics,5.496097606378982
tt0106918,movie,The Firm,1993,154,"Drama,Mystery,Thriller",6.9,159896,The Firm,IN,bn,0,True,Classics,5.2038403155556905
tt0108329,movie,Thiruda Thiruda,1993,140,"Action,Crime,Drama",7.1,1544,Thiruda Thiruda,IN,bn,0,False,Classics,3.1889284837608534
tt0110367,movie,Little Women,1994,115,"Drama,Family,Romance",7.3,68399,Little Women,IN,bn,0,False,Classics,4.835056101720117
tt0111559,movie,Unishe April,1994,138,Drama,7.7,640,Unishe April,IN,bn,0,False,Classics,2.8068580295188172
tt0112642,movie,Casper,1995,100,"Comedy,Family,Fantasy",6.2,158427,Casper,IN,bn,0,False,Classics,5.199831939695715
tt0113311,movie,It's a Long Way to the Sea,1995,106,Drama,7.7,120,Xagoroloi Bohudoor,IN,bn,0,True,Classics,2.0827853703164503
tt0139876,movie,Baasha,1995,145,"Action,Crime,Drama",8.3,13439,Baashha,IN,bn,0,False,Classics,4.128399268717806
tt0155813,movie,Kokadeuta Nati Aru Hati,1983,,Drama,8.0,10,Dadu Nati-o-Hati,IN,bn,0,False,Classics,1.0413926851582251
tt0172089,movie,Aatank Hi Aatank,1995,155,"Action,Crime,Drama",4.5,978,Atanker Din Ratri,IN,bn,0,False,Classics,2.9907826918031377
tt0178171,movie,Aakhri Baazi,1989,149,"Action,Drama,Family",4.4,70,Mastan,IN,bn,0,False,Classics,1.8512583487190752
tt0215175,movie,Seyi Chokh,1976,129,Romance,7.3,22,Sei Choka,IN,bn,0,False,Classics,1.3617278360175928
tt0215711,movie,Debi Chowdhurani,1974,,Drama,7.5,25,Devi Chaudhurani,IN,bn,0,False,Classics,1.414973347970818
tt0216132,movie,Raag Anurag,1975,,Drama,7.9,12,Rag Anurag,IN,bn,0,False,Classics,1.1139433523068367
tt0216141,movie,Rashifal,1984,,Drama,8.2,12,Rashiphal,IN,bn,0,False,Classics,1.1139433523068367
tt0232168,movie,Naukadubi,1979,,Drama,8.6,23,Noukadubi,IN,bn,0,False,Classics,1.380211241711606
tt0237254,movie,Fuleswari,1974,,"Drama,Musical,Romance",8.5,39,Phuleswari,IN,bn,0,False,Classics,1.6020599913279623
tt0237385,movie,Kothachilo,1994,,Drama,9.0,13,Katha Chhilo,IN,bn,0,False,Classics,1.146128035678238
tt0237694,movie,Sansar Seemantey,1975,126,Drama,8.9,20,Sansar Simante,IN,bn,0,False,Classics,1.3222192947339193
tt0267905,movie,Sangram,1993,156,"Action,Drama,Romance",3.7,283,Sesh Sangram,IN,bn,0,False,Classics,2.4533183400470375
tt0268117,movie,Aar Paar,1985,145,"Action,Drama",7.1,76,Abichar,BD,bn,0,False,Classics,1.8864907251724818
tt0268117,movie,Aar Paar,1985,145,"Action,Drama",7.1,76,Anyay Abichar,BD,bn,0,False,Classics,1.8864907251724818
tt0268117,movie,Aar Paar,1985,145,"Action,Drama",7.1,76,Anyay Abichar,IN,bn,0,False,Classics,1.8864907251724818
tt0268117,movie,Aar Paar,1985,145,"Action,Drama",7.1,76,Onnay Obichar,BD,bn,0,False,Classics,1.8864907251724818
tt0268141,movie,Ananda Ashram,1977,127,"Drama,Family",7.4,209,Ananda Ashram,IN,bn,0,False,Classics,2.322219294733919
tt0268273,movie,Dushman,1990,146,"Action,Drama",6.3,75,Andha Bichar,IN,bn,0,False,Classics,1.8808135922807914
tt0310712,movie,Bancharamer Bagan,1980,133,"Comedy,Drama,Family",8.2,341,Bancharamer Bagan,IN,bn,0,False,Classics,2.534026106056135
tt0359771,movie,Surja Dighal Bari,1979,131,Drama,8.7,408,Shurjo Deeghol Bari,BD,bn,0,False,Classics,2.611723308007342
